id,area
E02000919,0
E02003687,0
E02000833,0
E02000212,0
E02000712,0
E02000312,0
E02000895,0
E02006801,0
E02000261,0
E02000117,0
E02000654,0
E02004979,0
E02004939,0
E02000115,0
E02000071,0
E02000200,0
E02000916,0
E02000709,0
E02000111,0
E02004991,0
E02000875,0
E02000206,0
E02004870,0
E02000630,0
E02000664,0
E02000059,0
E02000008,0
E02003298,0
E02005094,0
E02000386,0
E02000308,0
E02000932,0
E02006415,0
E02006320,0
E02000930,0
E02000355,0
E02000793,0
E02000876,0
E02000046,0
E02003305,0
E02000125,0
E02005030,0
E02004530,0
E02006928,0
E02000470,0
E02000764,0
E02004532,0
E02000842,0
E02000367,0
E02006364,0
E02000777,0
E02000794,0
E02000181,0
E02000361,0
E02006332,0
E02000646,0
E02000038,0
E02000611,0
E02000153,0
E02000419,0
E02000467,0
E02000414,0
E02000140,0
E02000502,0
E02000622,0
E02000716,0
E02000350,0
E02006405,0
E02000579,0
E02000146,0
E02000614,0
E02000669,0
E02000231,0
E02000049,0
E02000534,0
E02000790,0
E02000586,0
E02000090,0
E02000573,0
E02000402,0
E02000239,0
E02000889,0
E02003313,0
E02000022,0
E02000581,0
E02000327,0
E02000834,0
E02000217,0
E02000163,0
E02000550,0
E02000010,0
E02005029,0
E02000668,0
E02000756,0
E02000180,0
E02000063,0
E02000230,0
E02006792,0
E02000922,0
E02004533,0
E02000473,0
E02000861,0
E02000019,0
E02000814,0
E02000962,0
E02000565,0
E02000950,0
E02000465,0
E02006331,0
E02000974,0
E02000385,0
E02000425,0
E02000915,0
E02003308,0
E02006365,0
E02000418,0
E02000971,0
E02005031,0
E02000241,0
E02000905,0
E02000677,0
E02000698,0
E02000266,0
E02000747,0
E02000566,0
E02000980,0
E02000580,0
E02004863,0
E02000114,0
E02000481,0
E02000346,0
E02004974,0
E02000240,0
E02000540,0
E02004535,0
E02004848,0
E02000760,0
E02000356,0
E02006929,0
E02000510,0
E02000893,0
E02000576,0
E02000463,0
E02000918,0
E02000400,0
E02006412,0
E02000447,0
E02000808,0
E02000784,0
E02006379,0
E02000068,0
E02000286,0
E02000480,0
E02000849,0
E02003300,0
E02006783,0
E02000116,0
E02000928,0
E02000757,0
E02000740,0
E02000633,0
E02000732,0
E02000043,0
E02000602,0
E02000590,0
E02000139,0
E02000557,0
E02000455,0
E02000650,0
E02000253,0
E02000246,0
E02000645,0
E02004860,0
E02000526,0
E02000563,0
E02000567,0
E02000924,0
E02000485,0
E02000744,0
E02000287,0
E02000427,0
E02000873,0
E02000851,0
E02000375,0
E02000457,0
E02000304,0
E02004869,0
E02000434,0
E02004932,0
E02000821,0
E02000855,0
E02006368,0
E02000011,0
E02000955,0
E02006411,0
E02000104,0
E02006786,0
E02000670,0
E02000285,0
E02000113,0
E02000124,0
E02000088,0
E02000444,0
E02000561,0
E02000133,0
E02000506,0
E02000832,0
E02000488,0
E02000271,0
E02000401,0
E02000284,0
E02006788,0
E02000141,0
E02000604,0
E02000123,0
E02000914,0
E02000866,0
E02000437,0
E02000674,0
E02000496,0
E02004527,0
E02000394,0
E02000027,0
E02000301,0
E02000741,0
E02000683,0
E02000396,0
E02000449,0
E02000186,0
E02000610,0
E02000519,0
E02003301,0
E02006377,0
E02000034,0
E02000314,0
E02000874,0
E02004973,0
E02000498,0
E02000933,0
E02005056,0
E02000095,0
E02000894,0
E02000234,0
E02000474,0
E02004967,0
E02000347,0
E02000335,0
E02000122,0
E02004867,0
E02000617,0
E02000660,0
E02000397,0
E02000297,0
E02000376,0
E02000531,0
E02000774,0
E02000187,0
E02000765,0
E02000896,0
E02000257,0
E02005040,0
E02000001,0
E02000267,0
E02000828,0
E02000538,0
E02000233,0
E02000597,0
E02000270,0
E02000967,0
E02006326,0
E02000238,0
E02004993,0
E02000705,0
E02004940,0
E02000237,0
E02000422,0
E02000725,0
E02000886,0
E02000739,0
E02000817,0
E02000387,0
E02004976,0
E02000249,0
E02000695,0
E02000636,0
E02000194,0
E02000697,0
E02000951,0
E02004959,0
E02000026,0
E02000306,0
E02000935,0
E02000845,0
E02006925,0
E02000218,0
E02004850,0
E02000228,0
E02005089,0
E02000468,0
E02000323,0
E02004864,0
E02000082,0
E02000649,0
E02006328,0
E02000177,0
E02000731,0
E02000424,0
E02000571,0
E02000596,0
E02000977,0
E02006339,0
E02000949,0
E02000251,0
E02004854,0
E02000079,0
E02000248,0
E02000903,0
E02000369,0
E02000879,0
E02006363,0
E02000188,0
E02000745,0
E02006793,0
E02000193,0
E02000245,0
E02000018,0
E02004541,0
E02000850,0
E02000288,0
E02000927,0
E02000002,0
E02000921,0
E02004899,0
E02000130,0
E02000733,0
E02000406,0
E02000509,0
E02000225,0
E02000736,0
E02000699,0
E02000223,0
E02000149,0
E02000291,0
E02000176,0
E02006882,0
E02000021,0
E02000848,0
E02005063,0
E02000109,0
E02000491,0
E02000738,0
E02000222,0
E02000829,0
E02000812,0
E02000318,0
E02000198,0
E02004873,0
E02000300,0
E02000800,0
E02004904,0
E02000629,0
E02000541,0
E02000407,0
E02000461,0
E02000320,0
E02000899,0
E02000495,0
E02000947,0
E02000715,0
E02000295,0
E02000888,0
E02000003,0
E02000053,0
E02000568,0
E02003685,0
E02000182,0
E02003678,0
E02000313,0
E02000081,0
E02000173,0
E02005057,0
E02000166,0
E02000507,0
E02000074,0
E02000363,0
E02000289,0
E02004467,0
E02000625,0
E02006414,0
E02000659,0
E02004978,0
E02000564,0
E02006930,0
E02000329,0
E02000701,0
E02000783,0
E02006325,0
E02000641,0
E02000024,0
E02004972,0
E02000378,0
E02000501,0
E02004942,0
E02000706,0
E02000136,0
E02000060,0
E02000307,0
E02000644,0
E02000529,0
E02000086,0
E02000782,0
E02006787,0
E02000750,0
E02000403,0
E02000215,0
E02000203,0
E02000722,0
E02000560,0
E02000410,0
E02005032,0
E02000469,0
E02000819,0
E02000484,0
E02000584,0
E02000462,0
E02006790,0
E02000612,0
E02000099,0
E02004994,0
E02006795,0
E02000807,0
E02000359,0
E02000333,0
E02000562,0
E02003310,0
E02000452,0
E02000489,0
E02000789,0
E02000960,0
E02000290,0
E02004470,0
E02000758,0
E02000681,0
E02003303,0
E02000852,0
E02000943,0
E02000717,0
E02000859,0
E02000880,0
E02000521,0
E02000686,0
E02000714,0
E02006408,0
E02005154,0
E02000324,0
E02000972,0
E02000582,0
E02006404,0
E02004465,0
E02006430,0
E02004927,0
E02005097,0
E02000087,0
E02000404,0
E02000080,0
E02000544,0
E02000513,0
E02004992,0
E02004988,0
E02000102,0
E02000545,0
E02000368,0
E02006334,0
E02000100,0
E02000061,0
E02000065,0
E02000780,0
E02000339,0
E02000542,0
E02000854,0
E02000107,0
E02000623,0
E02000388,0
E02000426,0
E02000185,0
E02000835,0
E02000042,0
E02000005,0
E02000868,0
E02000196,0
E02000685,0
E02000421,0
E02000624,0
E02000408,0
E02000830,0
E02000013,0
E02000824,0
E02000174,0
E02000605,0
E02000687,0
E02000365,0
E02003307,0
E02004531,0
E02004855,0
E02000247,0
E02000781,0
E02000530,0
E02000317,0
E02000551,0
E02004937,0
E02000799,0
E02000331,0
E02000459,0
E02000515,0
E02000770,0
E02000959,0
E02000420,0
E02000093,0
E02000751,0
E02000409,0
E02000103,0
E02000255,0
E02006317,0
E02000040,0
E02000897,0
E02005059,0
E02006380,0
